"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LOO","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.98998","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"MZW","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.24138","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 0700 - 1900 local. 1) Minimum Notice Required: 72 HOURS MANDATORY PRIOR NOTICE to confirm fueling as they need to arrange for the truck out of Oran Airport and declaration forms . If Supplier confirms fuel and truck leaves the depot an attendance fee + VAT will automatically apply regardless of fuel cancellation. The truck capacity is 25 000 liters. 2) Additional Information: An attendance fee applies at this location since the truck is dispatched from Oran airport. A night time fee may apply. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"MZW","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.14138","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 0700 - 1900 local. 1) Minimum Notice Required: 72 HOURS MANDATORY PRIOR NOTICE to confirm fueling as they need to arrange for the truck out of Oran Airport and declaration forms . If Supplier confirms fuel and truck leaves the depot an attendance fee + VAT will automatically apply regardless of fuel cancellation. The truck capacity is 25 000 liters. 2) Additional Information: An attendance fee applies at this location since the truck is dispatched from Oran airport. A night time fee may apply. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"OGX","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.07108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-Dec-25"
"OGX","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.97108","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-Dec-25"
"ORN","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.16038","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"ORN","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.06038","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operating Hours: 24h/7 2) Additional Information: A per flight applies to all fueling that occurs before 0700am and after 1900pm VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"QFD","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.14348","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Ramps serviced: NOT A CIVIL AIRPORT - EACH FUEL RELEASE NEEDS PRIOR SUPPLIER CONFIRMATION. 3) Additional Information: VAT applies on domestic flights. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"QFD","Algeria","NAFTAL-A/NAFTAL SPA/","265","3.04348","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Ramps serviced: NOT A CIVIL AIRPORT - EACH FUEL RELEASE NEEDS PRIOR SUPPLIER CONFIRMATION. 3) Additional Information: VAT applies on domestic flights. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"QMH","Algeria","NAFTAL-A/NAFTAL SPA/","1","2.99538","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 24h/7 1) Minimum Notice Required: 72hours are required to confirm fueling at the Airbase of Oum Bouaghi 2) Additional Information: Night time fee per flight may apply. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. Cost is passed on and is non-refundable. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"QMH","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.89538","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 24h/7 1) Minimum Notice Required: 72hours are required to confirm fueling at the Airbase of Oum Bouaghi 2) Additional Information: Night time fee per flight may apply. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. Cost is passed on and is non-refundable. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"QSF","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.01428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24h/7 2) Additional Information: Night fee per flight may apply VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"QSF","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.91428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24h/7 2) Additional Information: Night fee per flight may apply VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"TEE","Algeria","NAFTAL-A/NAFTAL SPA/","1","3.01428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operation Hours:: 06h00-18h00 2) Additional Information: A night time fee per flight applies to any refuelling that occurs before 0600 am and after 1800 pm VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"TEE","Algeria","NAFTAL-A/NAFTAL SPA/","265","2.91428","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) ITP Operation Hours:: 06h00-18h00 2) Additional Information: A night time fee per flight applies to any refuelling that occurs before 0600 am and after 1800 pm VAT applies on domestic flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
